Composer---Artist Pair,No of tracks they have produced together
Clapton/J. J. Cale-----Eric Clapton,1
Clapton/Levy-----Eric Clapton,1
Clapton/Robert Johnson Arr: Eric Clapton-----Eric Clapton,1
Clapton/Trad. Arr. Clapton-----Eric Clapton,1
Clarke/Farren/Kilmister/Tayler-----Metallica,1
"Claudio Martins/David Lima/Kleber Rodrigues/Livre, Cesare Som-----Various Artists",1
"Claudio Monteverdi-----C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",1
Cliff Burton-----Metallica,1
Collins/Van Zandt-----Metallica,1
Cook/Coverdale-----Deep Purple,1
Corumbá/José Gumarães/Venancio-----Gilberto Gil,1
Coverdale/Hughes/Lord/Paice-----Deep Purple,1
Coverdale/Hughes-----Deep Purple,1
Craig Ross/Lenny Kravitz-----Lenny Kravitz,1
Cub Coda/Michael Lutz-----Mötley Crüe,1
Culmer/Exalt-----Metallica,1
D. DeLeo/Kretz/R. DeLeo/Weiland-----Stone Temple Pilots,1
D. DeLeo/R. DeLeo/Weiland-----Stone Temple Pilots,1
D.Coverdal/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord-----Deep Purple,1
D.Coverdale/G.Hughes/Glenn Hughes/J.Lord/John Lord-----Deep Purple,1
D.Coverdale/G.Hughes/Glenn Hughes/R.Blackmore/Ritchie Blackmore-----Deep Purple,1
Da Gama/Lazao/Toni Garrido-----Cidade Negra,1
Da Gama/Lazão/Rás Bernardo-----Cidade Negra,1
Dadinho/Gilbreto Gomes/Gustavo/P.C. Portugal/R. Mocoto-----Various Artists,1
Dado Villa-Lobos/Ico Ouro-Preto/Marcelo Bonfá-----Legião Urbana,1
Dado Villa-Lobos-----Legião Urbana,1
Dale Evans-----Van Halen,1
Daniel Lanois-----The Tea Party,1
Dave Brubeck-----Miles Davis,1
Dave Krusen/Stone Gossard-----Pearl Jam,1
"Dave Kushner, Duff, Keith Nelson, Matt Sorum, Scott Weiland & Slash-----Velvet Revolver",1
Dave Murray; Steve Harris-----Iron Maiden,1
David Cook-----Smashing Pumpkins,1
David Corrêa - Paulinho Carvalho - Carlos Sena - Bira do Ponto-----Caetano Veloso,1
David Murray/Paul Di'Anno/Steve Harris-----Paul D'Ianno,1
